"x1_1"	"x1_2"	"x1_3"	"x1_4"	"y1"	"y2"	"y3"	"y4"	"y5"	"y6"	"y7"	"y8"	"y9"	"y10"	"y11"	"y12"
"5640"	0.19	0.46	0.2	0.54	0	0	0	0	0	0	0	0	0	0	0	1
"3391"	0.16	0.06	0.98	0.98	0	0	0	0	0	0	1	0	0	0	0	0
"4844"	0.51	0.23	0.48	0.16	0	0	0	0	0	0	0	0	0	1	0	0
"4276"	0.64	0.16	0.56	0.06	0	0	0	0	0	0	0	0	1	0	0	0
"1405"	0.08	0.88	0.97	0.04	0	0	1	0	0	0	0	0	0	0	0	0
"1284"	0.41	0.71	0.79	0.29	0	0	1	0	0	0	0	0	0	0	0	0
"3515"	0.22	0.24	0.47	0.59	0	0	0	0	0	0	0	1	0	0	0	0
"3402"	0.18	0.09	0.62	0.54	0	0	0	0	0	0	1	0	0	0	0	0
"571"	0.77	0.58	0.49	0.86	0	1	0	0	0	0	0	0	0	0	0	0
"5646"	0.14	0.44	0.14	0.52	0	0	0	0	0	0	0	0	0	0	0	1
"3948"	0.13	0.14	0.36	0.39	0	0	0	0	0	0	0	1	0	0	0	0
"5884"	0.32	0.64	0.41	0.77	0	0	0	0	0	0	0	0	0	0	0	1
"1793"	0.23	0.51	0.46	0.19	0	0	0	1	0	0	0	0	0	0	0	0
"1272"	0.08	0.61	0.49	0.09	0	0	1	0	0	0	0	0	0	0	0	0
"5818"	0.46	0.73	0.36	0.68	0	0	0	0	0	0	0	0	0	0	0	1
"4656"	0.88	0.53	0.79	0.5	0	0	0	0	0	0	0	0	0	1	0	0
"2679"	0.68	0.65	0.33	0.31	0	0	0	0	0	1	0	0	0	0	0	0
"2704"	0.48	0.49	0.19	0.23	0	0	0	0	0	1	0	0	0	0	0	0
"1438"	0.54	0.95	0.96	0.53	0	0	1	0	0	0	0	0	0	0	0	0
"1031"	0.03	0.69	0.77	0.08	0	0	1	0	0	0	0	0	0	0	0	0
"845"	0.9	0.55	0.53	0.8	0	1	0	0	0	0	0	0	0	0	0	0
"1361"	0.17	0.79	0.71	0.26	0	0	1	0	0	0	0	0	0	0	0	0
"4063"	0.86	0.32	0.72	0.04	0	0	0	0	0	0	0	0	1	0	0	0
"1994"	0.47	0.59	0.71	0.4	0	0	0	1	0	0	0	0	0	0	0	0
"4700"	0.75	0.43	0.71	0.5	0	0	0	0	0	0	0	0	0	1	0	0
"95"	0.9	0.06	0.13	0.91	1	0	0	0	0	0	0	0	0	0	0	0
"1237"	0.12	0.57	0.53	0.05	0	0	1	0	0	0	0	0	0	0	0	0
"4270"	0.85	0.21	0.9	0.14	0	0	0	0	0	0	0	0	1	0	0	0
"3112"	0.29	0.14	0.98	0.93	0	0	0	0	0	0	1	0	0	0	0	0
"1396"	0.12	0.67	0.72	0.06	0	0	1	0	0	0	0	0	0	0	0	0
"1174"	0.07	0.66	0.74	0.19	0	0	1	0	0	0	0	0	0	0	0	0
"3196"	0.21	0.23	0.71	0.81	0	0	0	0	0	0	1	0	0	0	0	0
"2419"	0.77	0.81	0.18	0.33	0	0	0	0	1	0	0	0	0	0	0	0
"5353"	0.55	0.93	0.39	0.91	0	0	0	0	0	0	0	0	0	0	1	0
"51"	0.67	0.13	0.14	0.69	1	0	0	0	0	0	0	0	0	0	0	0
"3762"	0.4	0.5	0.8	0.73	0	0	0	0	0	0	0	1	0	0	0	0
"1171"	0.05	0.62	0.68	0.12	0	0	1	0	0	0	0	0	0	0	0	0
"1330"	0.06	0.88	0.9	0.19	0	0	1	0	0	0	0	0	0	0	0	0
"4167"	0.65	0.15	0.66	0.06	0	0	0	0	0	0	0	0	1	0	0	0
"3163"	0.24	0.45	0.87	0.9	0	0	0	0	0	0	1	0	0	0	0	0
"4948"	0.6	0.35	0.61	0.37	0	0	0	0	0	0	0	0	0	1	0	0
"1908"	0.16	0.52	0.43	0.11	0	0	0	1	0	0	0	0	0	0	0	0
"4301"	0.95	0.11	0.87	0.44	0	0	0	0	0	0	0	0	1	0	0	0
"554"	0.46	0.14	0.16	0.42	0	1	0	0	0	0	0	0	0	0	0	0
"1918"	0.39	0.71	0.7	0.47	0	0	0	1	0	0	0	0	0	0	0	0
"307"	0.94	0.44	0.37	0.99	1	0	0	0	0	0	0	0	0	0	0	0
"5724"	0.17	0.51	0.19	0.62	0	0	0	0	0	0	0	0	0	0	0	1
"2814"	0.71	0.58	0.33	0.36	0	0	0	0	0	1	0	0	0	0	0	0
"834"	0.65	0.36	0.22	0.56	0	1	0	0	0	0	0	0	0	0	0	0
"2222"	0.75	0.81	0.23	0.24	0	0	0	0	1	0	0	0	0	0	0	0
"3318"	0.27	0.14	0.93	0.89	0	0	0	0	0	0	1	0	0	0	0	0
"2064"	0.85	0.87	0.35	0.41	0	0	0	0	1	0	0	0	0	0	0	0
"4573"	0.34	0.01	0.46	0.09	0	0	0	0	0	0	0	0	0	1	0	0
"480"	0.79	0.27	0.27	0.87	1	0	0	0	0	0	0	0	0	0	0	0
"1650"	0.37	0.83	0.72	0.48	0	0	0	1	0	0	0	0	0	0	0	0
"3452"	0.19	0.12	0.76	0.68	0	0	0	0	0	0	1	0	0	0	0	0
"5512"	0.34	0.67	0.33	0.61	0	0	0	0	0	0	0	0	0	0	0	1
"1118"	0.06	0.68	0.67	0.14	0	0	1	0	0	0	0	0	0	0	0	0
"4272"	0.95	0.48	0.87	0.1	0	0	0	0	0	0	0	0	1	0	0	0
"2666"	0.58	0.45	0.1	0.1	0	0	0	0	0	1	0	0	0	0	0	0
"3792"	0.13	0.01	0.39	0.34	0	0	0	0	0	0	0	1	0	0	0	0
"397"	0.67	0.09	0.18	0.59	1	0	0	0	0	0	0	0	0	0	0	0
"2259"	0.77	0.83	0.32	0.11	0	0	0	0	1	0	0	0	0	0	0	0
"194"	0.9	0.37	0.45	0.87	1	0	0	0	0	0	0	0	0	0	0	0
"5782"	0.52	0.82	0.52	0.86	0	0	0	0	0	0	0	0	0	0	0	1
"2692"	0.83	0.96	0.49	0.5	0	0	0	0	0	1	0	0	0	0	0	0
"37"	0.79	0.15	0.1	0.75	1	0	0	0	0	0	0	0	0	0	0	0
